,Name,Number of Publications
1,"DELISI, LYNN",32
2,"AIROLDI, EDOARDO",24
3,"LIN, XIHONG",96
4,"MANGO, SUSAN",8
5,"SILVER, PAMELA",154
6,"WALKER, SUZANNE",78
7,"BETANCOURT, THERESA",70
8,"WESSLING-RESNICK, MARIANNE",54
9,"DULAC, CATHERINE",30
10,"ASCHERIO, ALBERTO",166
11,"NADLER, LEE",28
12,"BERKMAN, LISA",91
13,"PRICE, ALKES",68
14,"KARPLUS, MARTIN",57
15,"HAIGIS, MARCIA",40
16,"TRITSCH, NICOLAS",6
17,"LINDSTROEM, SARA",0
18,"MERKLE, FLORIAN",9
19,"SEO, YOUNG",6
20,"KRUKENBERG, KRISTIN",5
21,"SUBRAMANIAM, ARVIND",3
22,"RAJAN, AKHILA",4
23,"NABAVI, SHEIDA",3
24,"MAROOF, ASIF",4
25,"ESVELT, KEVIN",18
26,"SANKARARAMAN, SRIRAM",14
27,"PANDE, ROHINI",0
28,"LIVINGSTONE, MARGARET",42
29,"HOGGATT, JONATHAN",10
30,"SAMUEL, MELANIE",3
31,"MOSALIGANTI, KISHORE",8
32,"GOODRICH, LISA",23
33,"MELTON, DOUGLAS",70
34,"SINGH, GITANJALI",20
35,"CLAUS HENN,",0
36,"MURANEN, TARU",18
37,"YOUNG, SIMON",1
38,"THOMAS, SHEILA",10
39,"CABAN-MARTINEZ, ALBERTO",18
40,"PAULI, ANDREA",10
41,"GIRE, DAVID",4
42,"PETERSON, TIMOTHY",1
43,"BANGHART, MATTHEW",5
44,"PATEL, CHIRAG",24
45,"KELLEY, DAVID",5
46,"PALACIOS, NATALIA",9
47,"GOLDSTEIN, EDWARD",23
48,"PAULO, JOAO",52
49,"NGUYEN, ANDREW",3
50,"WARNER, ERICA",15
51,"FISHER, HEIDI",5
52,"MATTEI, JOSIEMER",27
53,"BONDS, MATTHEW",9
54,"SHARPE, ARLENE",118
55,"GRANDJEAN, PHILIPPE",79
56,"KAESER, PASCAL",7
57,"KHARCHENKO, PETER",38
58,"YEH, JENNIFER",22
59,"BLOOM, DAVID",48
60,"WARE, NORMA",29
61,"FORTIER, CATHERINE",12
62,"CAI, TIANXI",79
63,"CORNELIS, MARILYN",44
64,"LEE, WEI-CHUNG",3
65,"SCHACTER, DANIEL",120
66,"LAHAV, GALIT",29
67,"KRIEGER, NANCY",92
68,"KEATING, NANCY",149
69,"BUCKEE, CAROLINE",31
70,"MARTI, MATTHIAS",28
71,"HERRICK, ROBERT",39
72,"WEITZ, DAVID",218
73,"NIZNIKIEWICZ, MARGARET",61
74,"PERRIMON, NORBERT",178
75,"ARTAVANIS-TSAKONAS, SPYRIDON",0
76,"HIGGINS, DARREN",32
77,"LAMONT, ELIZABETH",23
78,"IRIZARRY, RAFAEL",16
79,"ROSEN, VICKI",33
80,"DONG, MIN",7
81,"HOWLEY, PETER",41
82,"HARWELL, COREY",2
83,"GOOD, BYRON",8
84,"COEN, DONALD",83
85,"HAUSER, RUSS",150
86,"BERNHARDT, THOMAS",29
87,"HOWE, ROBERT",55
88,"SOMERVILLE, LEAH",17
89,"ZANOBETTI, ANTONELLA",93
90,"VANDERWEELE, TYLER",141
91,"HSU, YA-CHIEH",6
92,"INTINI, GIUSEPPE",11
93,"TONELLATO, PETER",12
94,"MANNING, BRENDAN",58
95,"WALTER, JOHANNES",58
96,"ROWE, MEREDITH",13
97,"YUAN, ZHI-MIN",27
98,"DYMECKI, SUSAN",30
99,"TESTA, MARCIA",24
100,"KOBZIK, LESTER",71
101,"TCHETGEN TCHETGEN, JOEL",53
102,"ENGERT, FLORIAN",33
103,"WHITMAN, MALCOLM",20
104,"HARPER, JEFFREY",0
105,"KIM, JANE",70
106,"MOONEY, DAVID",178
107,"MUSUNURU, KIRAN",29
108,"EXTAVOUR, CASSANDRA",40
109,"BETLEY, THEODORE",25
110,"DENIC, VLADIMIR",11
111,"ZHUANG, XIAOWEI",80
112,"EGGAN, KEVIN",65
113,"TABIN, CLIFFORD",90
114,"WILSON, KATHRYN",38
115,"MEISSNER, ALEXANDER",67
116,"MITCHELL, JAMES",41
117,"PAULSSON, JOHAN",24
118,"SALIC, ADRIAN",19
119,"ROWLEY, CHRISTOPHER",6
120,"LESCHZINER, ANDRES",9
121,"DESAI, MICHAEL",31
122,"SHAKHNOVICH, EUGENE",115
123,"KALINCHUK, ANNA",7
124,"AHMAD, KAMRAN",0
125,"COLAIACOVO, MONICA",36
126,"MOAZED, DANESH",59
127,"LOK, JUDITH",9
128,"RITTER, TOBIAS",55
129,"GARRETT, WENDY",48
130,"LIU, DAVID",124
131,"FONTANA, WALTER",11
132,"WAGERS, AMY",80
133,"KISHONY, ROY",52
134,"MAIR, WILLIAM",13
135,"KRUPAT, EDWARD",30
136,"WAGNER, GERHARD",158
137,"BIEWENER, ANDREW",50
138,"HARTL, DANIEL",127
139,"KRAVITZ, EDWARD",28
140,"BENDER, WELCOME",6
141,"SLIZ, PIOTR",32
142,"SMITH, MAURICE",17
143,"YUAN, JUNYING",76
144,"COREY, DAVID",46
145,"MEKALANOS, JOHN",71
146,"WILSON, RACHEL",40
147,"FAWZI, WAFAIE",211
148,"YAO, WEI-DONG",18
149,"SCHIER, ALEXANDER",60
150,"LEE, CHIH-HAO",34
151,"SACKS, FRANK",113
152,"DATTA, SANDEEP",12
153,"RUDNER, DAVID",46
154,"LASSAR, ANDREW",25
155,"MURTHY, VENKATESH",64
156,"ZHANG, YUN",16
157,"GU, CHENGHUA",19
158,"VAN VACTOR,",0
159,"WEISSKOPF, MARC",101
160,"LIBERLES, STEPHEN",20
161,"SHORE, STEPHANIE",70
162,"ARLOTTA, PAOLA",43
163,"CEPKO, CONSTANCE",75
164,"GINTY, DAVID",7
165,"YELLEN, GARY",33
166,"COWAN, CHAD",38
167,"WILLIAMS, DAVID",182
168,"MATHIS, DIANE",142
169,"MAUNSELL, JOHN",22
170,"BLACKLOW, STEPHEN",59
171,"LANGE, CHRISTOPH",103
172,"BARON, ROLAND",58
173,"VALLENDER, ERIC",30
174,"GACK, MICHAELA",24
175,"CHRISTIANI, DAVID",329
176,"WERFEL, JUSTIN",5
177,"XIE, XIAOLIANG",13
178,"JHA, ASHISH",150
179,"LERITZ, ELIZABETH",11
180,"BURATOWSKI, STEPHEN",54
181,"STARNBACH, MICHAEL",36
182,"SMITH FAWZI,",0
183,"WEITZ, CHARLES",18
184,"BRUGGE, JOAN",78
185,"KOLTER, ROBERTO",116
186,"FLANAGAN, JOHN",20
187,"SUN, QI",114
188,"DURAISINGH, MANOJ",63
189,"WALTHER, TOBIAS",11
190,"LU, QUAN",15
191,"MEGASON, SEAN",24
192,"RINN, JOHN",67
193,"PAGANO, MARCELLO",35
194,"REEDE, JOAN",9
195,"KNIPE, DAVID",86
196,"ASSAD, JOHN",24
197,"HILL, ALISON",14
198,"WHELAN, SEAN",49
199,"HUGHES, MICHAEL",58
200,"XU, YAODA",19
201,"BORN, RICHARD",27
202,"CHURCHMAN, LEE",0
203,"GOLAN, DAVID",34
204,"SEIDMAN, JONATHAN",43
205,"CLARDY, JON",137
206,"UCHIDA, NAOSHIGE",24
207,"LORY, STEPHEN",42
208,"SABATINI, BERNARDO",75
209,"GREENBERG, MICHAEL",70
210,"NOCERA, DANIEL",50
211,"SINCLAIR, DAVID",83
212,"CALARCO, JOHN",11
213,"BENOIST, CHRISTOPHE",137
214,"JENA, ANUPAM",73
215,"KASPER, DENNIS",61
216,"SALOMON, JOSHUA",82
217,"KAWACHI, ICHIRO",351
218,"FINLEY, DANIEL",50
219,"HOTAMISLIGIL, GOKHAN",94
220,"FARESE, ROBERT",16
221,"QI, LU",144
222,"VON ANDRIAN,",0
223,"FREDBERG, JEFFREY",81
224,"HUSKAMP, HAIDEN",87
225,"RECK-PETERSON, SAMARA",19
226,"RAPOPORT, TOM",80
227,"MCCARROLL, STEVEN",60
228,"GYGI, STEVEN",283
229,"KIRSCHNER, MARC",84
230,"MILNER, DANNY",46
231,"STROMINGER, JACK",65
232,"CHOU, JAMES",48
233,"HANAGE, WILLIAM",45
234,"SHAPIRO, ROGER",49
235,"GOLDBERG, ALFRED",89
236,"HU, FRANK",584
237,"SORENSEN, GLORIAN",84
238,"EYAL, NIR",21
239,"HERNANDEZ-DIAZ, SONIA",110
240,"DORF, MARTIN",19
241,"WILLIAMS, MICHELLE",140
242,"MEHROTRA, ATEEV",54
243,"REGEHR, WADE",68
244,"LANSKE, BEATE",49
245,"OLSEN, BJORN",80
246,"BACCARELLI, ANDREA",151
247,"HOOKER, CHRISTINE",30
248,"MCCARLEY, ROBERT",174
249,"NORMAND, SHARON-LISE",128
250,"HUNTER, DAVID",433
251,"MITCHISON, TIMOTHY",124
252,"SCHWARTZ, JOEL",354
253,"GRAY, JESSE",13
254,"SPEALMAN, ROGER",35
255,"GARSHICK, ERIC",37
256,"MCGUIRE, THOMAS",50
257,"GAZIANO, THOMAS",31
258,"HOCHSCHILD, ANN",35
259,"KALENDERIAN, ELSBETH",28
260,"CANNING, DAVID",34
261,"YIN, PENG",29
262,"GELLER, ALAN",78
263,"DAVAASAMBUU, GANMAA",1
264,"SPIEGELMAN, DONNA",292
265,"LANDON, BRUCE",149
266,"HOGLE, JAMES",38
267,"ROBINS, JAMES",59
268,"RIMM, ERIC",344
269,"WIRTH, DYANN",96
270,"CATTERUCCIA, FLAMINIA",16
271,"BOYD, DANA",25
272,"LIPSITCH, MARC",149
273,"REED, ROBIN",35
274,"LOSICK, RICHARD",121
275,"KLECKNER, NANCY",44
276,"KAUR, AMITINDER",32
277,"YANKNER, BRUCE",21
278,"RAMANATHAN, SHARAD",12
279,"WU, CHAO-TING",13
280,"STRUHL, KEVIN",85
281,"PARKER, KEVIN",66
282,"GOLOVCHENKO, JENE",18
283,"HARRISON, STEPHEN",112
284,"SANES, JOSHUA",69
285,"HENSCH, TAKAO",26
286,"DOCKERY, DOUGLAS",49
287,"LICHTMAN, JEFF",59
288,"KOHANE, ISAAC",163
289,"SORGER, PETER",55
290,"WILLETT, WALTER",725
291,"GARNER, ETHAN",8
292,"RUBIN, ERIC",79
293,"GELBART, WILLIAM",19
294,"CHURCH, GEORGE",222
295,"WALKER, BRUCE",205
296,"ESSEX, MYRON",9
297,"MURRAY, MEGAN",97
298,"SEAGE, GEORGE",74